Season,Club,gk_players_used,gk_minutes,gk_minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_draws,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att_gk,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
2017-2018,Newcastle Utd,3,3420,38.0,47,1.24,145,104,70.3,12,8,18,9,23.7,6,4,2,0,33.3
2017-2018,Southampton,2,3420,38.0,56,1.47,165,108,66.7,7,15,16,8,21.1,2,1,1,0,50.0
2017-2018,Stoke City,2,3420,38.0,68,1.79,212,151,70.3,7,12,19,6,15.8,5,5,0,0,0.0
2017-2018,Swansea City,1,3420,38.0,56,1.47,182,129,70.9,8,9,21,9,23.7,7,3,3,1,50.0
2017-2018,Tottenham,3,3420,38.0,36,0.95,123,89,72.4,23,8,7,16,42.1,3,2,1,0,33.3
2017-2018,Watford,2,3420,38.0,64,1.68,151,93,61.6,11,8,19,9,23.7,6,6,0,0,0.0
2017-2018,West Brom,2,3420,38.0,56,1.47,155,100,64.5,6,13,19,10,26.3,1,1,0,0,0.0
2017-2018,West Ham,2,3420,38.0,68,1.79,180,113,65.0,10,12,16,10,26.3,6,5,1,0,16.7
2018-2019,Arsenal,2,3420,38.0,51,1.34,174,130,74.7,21,7,10,8,21.1,7,7,0,0,0.0
2018-2019,Bournemouth,3,3420,38.0,70,1.84,169,103,61.5,13,6,19,10,26.3,5,5,0,0,0.0
2018-2019,Brighton,2,3420,38.0,60,1.58,155,104,67.7,9,9,20,7,18.4,10,10,0,0,0.0
2018-2019,Burnley,2,3420,38.0,68,1.79,196,130,66.3,11,7,20,8,21.1,3,2,1,0,33.3
2018-2019,Cardiff City,1,3420,38.0,69,1.82,199,132,67.3,10,4,24,10,26.3,7,4,3,0,42.9
2018-2019,Chelsea,2,3420,38.0,39,1.03,122,82,68.9,21,9,8,16,42.1,2,1,1,0,50.0
2018-2019,Crystal Palace,3,3420,38.0,53,1.39,159,108,69.2,14,7,17,12,31.6,5,4,1,0,20.0
2018-2019,Everton,1,3420,38.0,46,1.21,131,87,66.4,15,9,14,14,36.8,5,2,3,0,60.0
2018-2019,Fulham,3,3420,38.0,81,2.13,219,141,65.3,7,5,26,5,13.2,7,5,1,1,16.7
2018-2019,Huddersfield,3,3420,38.0,76,2.00,179,108,61.5,3,7,28,5,13.2,8,7,1,0,12.5
2018-2019,Leicester City,1,3420,38.0,48,1.26,134,91,67.9,15,7,16,10,26.3,5,5,0,0,0.0
2018-2019,Liverpool,1,3420,38.0,22,0.58,98,76,77.6,30,7,1,21,55.3,1,0,0,1,
2018-2019,Manchester City,1,3420,38.0,23,0.61,78,59,75.6,32,2,4,20,52.6,4,4,0,0,0.0
2018-2019,Manchester Utd,1,3420,38.0,54,1.42,170,125,71.8,19,9,10,7,18.4,6,6,0,0,0.0
2018-2019,Newcastle Utd,1,3420,38.0,48,1.26,134,93,68.7,12,9,17,11,28.9,6,6,0,0,0.0
2018-2019,Southampton,3,3420,38.0,65,1.71,172,112,63.4,9,12,17,7,18.4,3,2,1,0,33.3
2018-2019,Tottenham,3,3420,38.0,39,1.03,148,112,75.7,23,2,13,13,34.2,5,3,2,0,40.0
2018-2019,Watford,1,3420,38.0,59,1.55,173,117,68.2,14,8,16,7,18.4,5,4,1,0,20.0
2018-2019,West Ham,1,3420,38.0,55,1.45,192,138,73.4,15,7,16,7,18.4,5,4,1,0,20.0
2018-2019,Wolves,3,3420,38.0,46,1.21,139,98,69.1,16,9,13,9,23.7,4,3,0,1,0.0
2019-2020,Arsenal,2,3420,38.0,48,1.26,189,143,78.3,14,14,10,10,26.3,8,7,1,0,12.5
2019-2020,Aston Villa,4,3420,38.0,67,1.76,175,113,64.6,9,8,21,7,18.4,6,5,1,0,16.7
2019-2020,Bournemouth,2,3420,38.0,65,1.71,182,122,67.0,9,7,22,5,13.2,6,5,1,0,16.7
2019-2020,Brighton,1,3420,38.0,54,1.42,164,114,68.3,9,14,15,9,23.7,2,2,0,0,0.0
2019-2020,Burnley,1,3420,38.0,50,1.32,159,112,71.1,15,9,14,15,39.5,5,4,1,0,20.0
2019-2020,Chelsea,2,3420,38.0,54,1.42,115,65,54.8,20,6,12,9,23.7,2,2,0,0,0.0
2019-2020,Crystal Palace,2,3420,38.0,50,1.32,169,120,70.4,11,10,17,10,26.3,1,0,0,1,
2019-2020,Everton,1,3420,38.0,56,1.47,145,95,63.4,13,10,15,9,23.7,4,3,0,1,0.0
2019-2020,Leicester City,1,3420,38.0,41,1.08,126,95,73.8,18,8,12,13,34.2,10,8,2,0,20.0
2019-2020,Liverpool,2,3418,38.0,33,0.87,107,75,70.1,32,3,3,15,39.5,1,1,0,0,0.0
2019-2020,Manchester City,2,3418,38.0,35,0.92,107,73,70.1,26,3,9,17,44.7,3,3,0,0,0.0
2019-2020,Manchester Utd,1,3420,38.0,36,0.95,125,92,73.6,18,12,8,13,34.2,3,3,0,0,0.0
2019-2020,Newcastle Utd,1,3420,38.0,58,1.53,190,134,70.5,11,11,16,11,28.9,2,2,0,0,0.0
2019-2020,Norwich City,3,3420,38.0,75,1.97,201,129,64.7,5,6,27,5,13.2,7,4,3,0,42.9
2019-2020,Sheffield Utd,2,3420,38.0,39,1.03,141,103,73.0,14,12,12,13,34.2,3,1,1,1,50.0
2019-2020,Southampton,2,3420,38.0,60,1.58,163,107,65.0,15,7,16,9,23.7,4,3,1,0,25.0
2019-2020,Tottenham,2,3420,38.0,47,1.24,172,130,75.6,16,11,11,8,21.1,7,5,2,0,28.6
2019-2020,Watford,1,3420,38.0,64,1.68,166,109,66.3,8,10,20,9,23.7,9,8,1,0,11.1
2019-2020,West Ham,4,3420,38.0,62,1.63,178,124,68.0,10,9,19,7,18.4,6,5,1,0,16.7
2019-2020,Wolves,1,3420,38.0,40,1.05,120,80,67.5,15,14,9,13,34.2,3,1,2,0,66.7
2020-2021,Arsenal,3,3417,38.0,39,1.03,128,94,71.1,18,7,13,12,31.6,3,2,1,0,33.3
2020-2021,Aston Villa,1,3420,38.0,46,1.21,177,135,76.8,16,7,15,15,39.5,6,5,1,0,16.7
2020-2021,Brighton,2,3420,38.0,46,1.21,117,79,65.8,9,14,15,12,31.6,7,6,0,1,0.0
2020-2021,Burnley,3,3420,38.0,55,1.45,179,127,70.9,10,9,19,11,28.9,3,3,0,0,0.0
2020-2021,Chelsea,3,3420,38.0,36,0.95,103,70,68.0,19,10,9,18,47.4,4,3,1,0,25.0
2020-2021,Crystal Palace,2,3420,38.0,66,1.74,173,108,63.6,12,8,18,8,21.1,4,3,1,0,25.0
2020-2021,Everton,3,3420,38.0,48,1.26,158,111,71.5,17,8,13,12,31.6,4,3,0,1,0.0
2020-2021,Fulham,2,3420,38.0,53,1.39,164,118,72.0,5,13,20,9,23.7,7,7,0,0,0.0
2020-2021,Leeds United,2,3420,38.0,54,1.42,189,144,75.7,18,5,15,12,31.6,9,8,1,0,11.1
2020-2021,Leicester City,1,3420,38.0,50,1.32,134,87,65.7,20,6,12,11,28.9,4,4,0,0,0.0
2020-2021,Liverpool,3,3420,38.0,42,1.11,137,98,72.3,20,9,9,12,31.6,8,4,1,3,20.0
2020-2021,Manchester City,3,3420,38.0,32,0.84,89,65,73.0,27,5,6,19,50.0,10,8,2,0,20.0
2020-2021,Manchester Utd,2,3420,38.0,44,1.16,135,96,70.4,21,11,6,13,34.2,4,4,0,0,0.0
2020-2021,Newcastle Utd,2,3420,38.0,62,1.63,179,123,67.6,12,9,17,7,18.4,5,4,1,0,20.0
2020-2021,Sheffield Utd,1,3420,38.0,63,1.66,205,145,70.7,7,2,29,5,13.2,4,3,0,1,0.0
2020-2021,Southampton,2,3420,38.0,68,1.79,169,109,64.5,12,7,19,9,23.7,9,8,1,0,11.1
2020-2021,Tottenham,1,3420,38.0,45,1.18,144,111,75.7,18,8,12,12,31.6,10,10,0,0,0.0
2020-2021,West Brom,2,3420,38.0,76,2.00,235,166,70.6,5,11,22,6,15.8,12,7,2,3,22.2
2020-2021,West Ham,2,3420,38.0,47,1.24,143,102,69.2,19,8,11,11,28.9,6,3,2,1,40.0
2020-2021,Wolves,2,3420,38.0,52,1.37,144,99,68.8,12,9,17,10,26.3,8,7,1,0,12.5
2021-2022,Arsenal,2,3420,38.0,48,1.26,141,93,69.5,22,3,13,13,34.2,6,5,0,1,0.0
2021-2022,Aston Villa,3,3420,38.0,54,1.42,145,96,65.5,13,6,19,11,28.9,6,4,1,1,20.0
2021-2022,Brentford,3,3420,38.0,56,1.47,173,123,70.5,13,7,18,9,23.7,5,5,0,0,0.0
2021-2022,Brighton,2,3419,38.0,44,1.16,145,103,71.7,12,15,11,11,28.9,4,3,0,1,0.0
2021-2022,Burnley,2,3420,38.0,53,1.39,172,123,72.1,7,14,17,9,23.7,5,5,0,0,0.0
2021-2022,Chelsea,2,3420,38.0,33,0.87,108,81,75.0,21,11,6,16,42.1,6,6,0,0,0.0
2021-2022,Crystal Palace,2,3420,38.0,46,1.21,141,100,69.5,11,15,12,12,31.6,4,3,1,0,25.0
2021-2022,Everton,2,3420,38.0,66,1.74,184,125,65.2,11,6,21,8,21.1,2,2,0,0,0.0
2021-2022,Leeds United,2,3420,38.0,79,2.08,219,143,66.2,9,11,18,5,13.2,5,5,0,0,0.0
2021-2022,Leicester City,2,3420,38.0,59,1.55,181,129,71.3,14,10,14,7,18.4,10,7,2,1,22.2
2021-2022,Liverpool,2,3420,38.0,26,0.68,105,78,75.2,28,8,2,21,55.3,0,0,0,0,
2021-2022,Manchester City,2,3420,38.0,26,0.68,85,58,70.6,29,6,3,21,55.3,1,1,0,0,0.0
2021-2022,Manchester Utd,1,3420,38.0,57,1.50,177,124,69.5,16,10,12,8,21.1,6,3,3,0,50.0
2021-2022,Newcastle Utd,3,3420,38.0,62,1.63,162,105,64.8,13,10,15,8,21.1,6,5,1,0,16.7
2021-2022,Norwich City,2,3420,38.0,84,2.21,212,135,64.6,5,7,26,6,15.8,13,9,2,2,18.2
2021-2022,Southampton,3,3420,38.0,67,1.76,180,116,63.9,9,13,16,8,21.1,2,2,0,0,0.0
2021-2022,Tottenham,1,3420,38.0,40,1.05,133,95,71.4,22,5,11,16,42.1,2,2,0,0,0.0
2021-2022,Watford,2,3420,38.0,77,2.03,180,108,60.6,6,5,27,4,10.5,7,6,1,0,14.3
2021-2022,West Ham,2,3420,38.0,51,1.34,159,107,69.2,16,8,14,8,21.1,6,2,3,1,60.0
2021-2022,Wolves,2,3420,38.0,43,1.13,157,124,78.3,15,6,17,11,28.9,10,9,0,1,0.0
