Season,Club,gk_players_used,gk_minutes,gk_minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_draws,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att_gk,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
2010-2011,Blackburn,2,3420,,59,1.55,194,135,69.6,11,10,17,8,21.1,,,,,
2010-2011,Blackpool,4,3420,,80,2.11,240,160,66.7,10,9,19,6,15.8,,,,,
2010-2011,Bolton,2,3420,,56,1.47,193,137,71.0,12,10,16,5,13.2,,,,,
2010-2011,Chelsea,1,3420,,33,0.87,148,115,77.7,21,8,9,15,39.5,,,,,
2010-2011,Everton,1,3420,,45,1.18,153,108,70.6,13,15,10,9,23.7,,,,,
2010-2011,Fulham,2,3420,,43,1.13,171,128,74.9,11,16,11,14,36.8,,,,,
2010-2011,Liverpool,1,3420,,44,1.16,149,105,70.5,17,7,14,14,36.8,,,,,
2010-2011,Manchester City,1,3420,,33,0.87,153,120,78.4,21,8,9,18,47.4,,,,,
2010-2011,Manchester Utd,2,3420,,37,0.97,139,102,73.4,23,11,4,15,39.5,,,,,
2010-2011,Newcastle Utd,2,3420,,57,1.50,161,104,64.6,11,13,14,9,23.7,,,,,
2010-2011,Stoke City,2,3420,,48,1.26,176,128,72.7,13,7,18,9,23.7,,,,,
2010-2011,Sunderland,2,3420,,56,1.47,206,150,72.8,12,11,15,13,34.2,,,,,
2010-2011,Tottenham,2,3420,,46,1.21,183,137,74.9,16,14,8,8,21.1,,,,,
2010-2011,West Brom,2,3420,,71,1.87,182,111,61.0,12,11,15,2,5.3,,,,,
2010-2011,West Ham,2,3420,,70,1.84,243,173,71.2,7,12,19,5,13.2,,,,,
2010-2011,Wigan Athletic,3,3420,,61,1.61,196,135,68.9,9,15,14,7,18.4,,,,,
2010-2011,Wolves,2,3420,,66,1.74,199,133,66.8,11,7,20,5,13.2,,,,,
2011-2012,Arsenal,1,3420,,49,1.29,135,86,63.7,21,7,10,13,34.2,,,,,
2011-2012,Aston Villa,2,3420,,53,1.39,185,132,71.4,7,17,14,9,23.7,,,,,
2011-2012,Blackburn,3,3420,,78,2.05,190,112,58.9,8,7,23,3,7.9,,,,,
2011-2012,Bolton,2,3420,,77,2.03,233,156,67.0,10,6,22,3,7.9,,,,,
