Year,Season,Club,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,id,matches,awardedMatches
2021,2021-2022,Newcastle United,44,62,2,23,449,3,3,4,15,34,7,268,181,9,4,28,49,34,28,149,179,121,359,632,160,7,26,3,25,40.0,12503,9329,74.614092617772,5599,4747,84.782996963744,7496,4732,63.127001067236,1490,648,43.489932885906,592,150,25.337837837838,8,659,360,107,4,10,6,5,743,6,1,4025,2059,51.155279503106,2726,1382,50.696991929567,1299,677,52.11701308699,5135,71,392,80,1,2,6.7889546351085,4143,8848,7567,16262,91,68,48,642,190,153,685,641,337,3,9,12,268,398,981,2077,58,3,530,160,339,191,199,171,160,632,5656,11809,8417,19541,75,6269,38,0
2021,2021-2022,Crystal Palace,50,46,2,31,412,6,8,1,13,45,5,301,111,6,17,27,61,41,33,147,153,112,383,688,175,11,14,2,12,51.157894736842,17309,13903,80.322375642729,9313,8203,88.081176849565,8639,5851,67.727746266929,1856,833,44.881465517241,643,151,23.48367029549,12,636,333,101,1,4,4,3,731,2,3,4197,2109,50.250178699071,2960,1496,50.540540540541,1237,613,49.555375909458,5603,63,414,68,1,1,6.8709615384615,3450,6973,6476,13282,47,30,27,683,184,167,664,575,302,6,10,9,378,305,987,2232,53,3,443,138,267,176,159,146,138,776,5091,10038,7414,16788,73,6212,38,0
2021,2021-2022,Brentford,48,56,2,32,442,6,6,0,11,43,3,317,125,11,15,20,66,50,37,155,161,126,262,476,159,12,15,1,14,44.526315789474,14604,10762,73.692139139962,7056,6000,85.034013605442,8188,4918,60.063507572057,1468,582,39.645776566757,640,156,24.375,9,607,393,129,2,5,5,5,809,4,2,3862,1949,50.466079751424,2407,1227,50.976319069381,1455,722,49.621993127148,5699,66,371,63,2,3,6.8390151515151,4237,8547,6426,14793,68,53,40,801,229,180,812,616,325,3,9,9,381,359,967,2260,71,3,503,113,305,198,207,183,113,505,5821,11737,7509,18434,50,6193,38,0
2021,2021-2022,Aston Villa,52,54,2,42,464,3,3,0,20,43,7,291,173,6,15,29,52,42,30,162,171,131,333,587,196,6,13,4,9,46.447368421053,14886,11868,79.725916968964,6999,6193,88.484069152736,8557,5821,68.026177398621,1389,602,43.340532757379,670,146,21.791044776119,11,634,340,98,3,10,6,4,629,7,1,3905,2005,51.34443021767,2796,1461,52.25321888412,1109,544,49.053201082056,4983,52,401,80,1,2,6.8594285714286,3234,6670,7695,14218,68,45,43,706,220,147,685,649,349,0,6,8,339,349,1096,2149,39,1,477,135,304,173,186,156,135,598,4661,9454,8589,17358,84,6220,38,0
2021,2021-2022,Southampton,43,67,2,26,482,4,4,4,24,33,8,298,184,9,5,27,60,44,41,170,177,135,350,624,233,10,15,2,13,47.710526315789,15288,11717,76.641810570382,6373,5412,84.920759453946,9626,6456,67.068356534386,1420,562,39.577464788732,711,151,21.237693389592,8,602,446,118,5,8,2,2,761,6,0,4075,1987,48.760736196319,2666,1312,49.212303075769,1409,675,47.906316536551,5748,42,402,64,1,2,6.8031189083821,3546,6871,6615,13322,99,75,56,784,197,164,721,582,334,2,16,16,349,365,1005,2207,65,1,495,134,331,164,172,189,134,639,5109,10023,7745,17047,62,6214,38,0
2021,2021-2022,Everton,43,66,5,29,437,6,7,0,18,37,5,279,158,8,12,21,49,33,24,138,152,147,337,634,161,7,20,3,17,39.763157894737,12944,9493,73.338998763906,5331,4426,83.023822922529,8266,5231,63.28332930075,1324,553,41.767371601208,653,164,25.114854517611,8,705,365,128,10,5,2,2,775,2,4,4155,2064,49.675090252708,2786,1424,51.112706389088,1369,640,46.749452154858,5495,53,368,80,2,6,6.7787276341948,4130,8811,8260,16909,88,66,48,611,219,162,719,735,399,1,5,14,333,374,979,2103,43,0,522,142,323,199,190,190,142,620,5719,11842,9320,20443,72,6213,38,0
2021,2021-2022,Leeds United,42,79,1,26,485,5,5,1,13,33,9,287,198,3,27,12,63,44,37,154,194,137,339,655,170,18,15,0,15,52.526315789474,16503,12865,77.955523238199,8818,7641,86.652302109322,8333,5345,64.142565702628,1631,721,44.206008583691,648,121,18.672839506173,5,786,395,147,4,11,5,5,604,7,1,4143,1960,47.308713492638,3038,1483,48.815009874918,1105,477,43.16742081448,5641,63,469,101,0,3,6.7498069498069,2989,5972,6190,12008,94,72,51,689,181,154,568,886,478,5,15,11,398,436,887,2053,53,3,581,148,371,210,202,231,148,614,4580,8893,7080,15405,71,6200,38,0
2021,2021-2022,Burnley,34,53,2,26,407,1,2,1,14,28,4,264,143,10,9,13,54,43,37,125,179,103,258,480,183,15,12,1,11,39.736842105263,12319,8522,69.177692994561,4586,3759,81.966855647623,8480,4924,58.066037735849,1710,717,41.929824561404,747,161,21.552878179384,9,589,411,129,4,14,5,5,832,9,3,3912,2004,51.226993865031,2341,1171,50.021358393849,1571,833,53.023551877785,5739,101,394,68,0,2,6.859126984127,4109,7858,8042,15721,68,48,36,810,265,179,861,534,284,1,8,16,281,459,1047,2457,54,0,603,209,394,209,207,187,209,512,5682,11136,9276,19551,44,6217,38,0
2021,2021-2022,Watford,34,77,3,26,399,1,2,0,24,33,0,247,152,8,6,19,58,49,39,127,175,97,395,751,161,11,30,2,28,40.315789473684,13046,9509,72.888241606623,6014,5041,83.821084137014,7642,4614,60.376864695106,1485,639,43.030303030303,610,146,23.934426229508,4,614,444,117,9,10,7,6,866,5,4,4341,2072,47.730937571988,2867,1355,47.261946285316,1474,717,48.643147896879,5649,53,442,60,3,3,6.7092843326886,3907,8274,8200,16272,86,69,42,581,234,202,801,627,348,3,12,16,347,425,1089,2278,55,1,561,150,371,190,218,193,150,745,5651,11524,9210,19933,63,6219,38,0
2021,2021-2022,Norwich City,23,84,2,16,373,3,3,0,18,18,3,205,168,5,4,12,37,30,27,109,147,117,298,581,165,8,18,1,17,42.5,14466,11208,77.478224802986,7809,6803,87.117428608016,7225,4532,62.726643598616,1520,667,43.881578947368,568,127,22.359154929577,6,614,381,141,5,9,12,9,816,8,4,3788,1836,48.468848996832,2691,1341,49.832775919732,1097,495,45.123062898815,5102,55,356,56,1,1,6.6814531548757,4617,9050,7786,16658,102,74,56,550,251,178,793,714,417,1,12,14,330,470,1069,2054,56,2,631,181,414,217,220,230,181,596,6206,12047,8586,19840,60,6231,38,0
2020,2020-2021,Manchester City,83,32,1,55,599,5,9,1,21,72,10,394,205,10,28,44,106,79,59,218,208,173,485,783,247,20,21,3,20,63.710526315789,25651,22921,89.357140072512,10557,9842,93.227242587856,15726,13196,83.911992878036,1365,867,63.516483516484,632,117,18.512658227848,19,498,319,69,4,7,10,8,429,0,3,3586,1834,51.143335192415,2678,1349,50.373412994772,908,485,53.4140969163,4573,57,361,46,0,2,7.0853909465021,2030,4525,7145,11586,36,16,17,688,111,84,426,576,342,10,18,6,405,201,846,1985,67,2,283,82,172,111,101,100,82,647,3143,6773,8131,14478,60,4704,38,0
2020,2020-2021,Manchester United,73,44,2,51,526,10,11,0,21,62,8,324,202,13,15,42,94,68,51,213,162,151,417,713,197,9,18,6,13,55.868421052632,20984,17796,84.807472359893,9328,8375,89.783447684391,12295,9575,77.877185847906,1486,875,58.882907133244,639,154,24.100156494523,13,551,385,100,6,14,4,4,595,0,3,3760,1914,50.904255319149,2785,1362,48.904847396768,975,552,56.615384615385,5085,76,452,64,0,1,6.9809145129225,2973,6051,7470,13401,63,46,37,685,162,120,617,577,340,2,9,19,478,321,872,2071,60,3,428,122,274,154,165,141,122,656,4372,8787,8409,16579,63,4655,38,0
2020,2020-2021,Liverpool,68,42,0,43,608,6,6,0,22,59,6,406,202,14,27,24,109,82,68,214,221,173,407,696,257,12,22,5,17,62.447368421053,24292,20822,85.715461880454,10367,9537,91.993826565062,14787,11456,77.473456414418,1747,905,51.803091013165,862,171,19.837587006961,12,526,347,100,9,11,8,4,544,4,5,3736,1785,47.778372591006,2616,1242,47.477064220183,1120,543,48.482142857143,5638,65,396,40,0,0,6.9825742574257,2138,4593,6625,11103,82,57,62,1010,122,115,531,543,323,8,19,7,456,241,1052,2444,95,2,332,58,226,106,130,144,58,675,3466,7333,7762,14564,56,4472,38,0
2020,2020-2021,Chelsea,58,36,1,38,556,8,10,0,16,53,3,365,191,8,19,28,92,62,56,210,194,152,359,657,226,17,17,2,15,61.289473684211,24070,20941,87.000415454923,11857,10832,91.355317533946,12962,10294,79.416756673353,1608,906,56.34328358209,749,185,24.699599465955,18,612,382,73,8,8,4,3,614,2,3,3756,1903,50.66560170394,2656,1327,49.96234939759,1100,576,52.363636363636,5044,79,433,50,1,3,7.0030769230769,2701,5621,6356,11894,41,31,20,713,160,83,533,570,339,4,12,11,430,242,887,2038,54,3,336,84,195,141,143,109,84,584,4150,8399,7257,15123,55,4603,38,0
